transaction_date	address	floor	total_floor	total_price	unit_price_ping	total_area_ping	house_area_ping	land_area_ping	total_parking_price	parking_amount	per_parking_price
111/01	B3	23	32	4688	52.44	100.86	79.86	9.02	500	2	250
110/12	A2	14	35	5630	55.38	116.71	95.7	10.56	330	2	165
110/12	A1	13	35	5058	52.4	110.33	90.33	10.12	325	2	162.5
110/12	B1	22	32	5656	53.83	124.6	93.1	10.56	645	3	215
110/12	A2	23	35	6528	62.95	116.6	95.6	10.56	510	2	255
110/12	B3	20	32	4358	50.06	100.86	79.86	9.02	360	2	180
110/12	B3	31	32	4748	56.32	90.36	79.86	8.8	250	1	250
110/12	A1	21	35	5490	56.24	115.33	90.33	10.12	410	2	205
110/12	B3	21	32	4358	50.06	100.86	79.86	9.02	360	2	180
110/12	A1	15	35	5208	53.73	111.33	90.33	10.12	355	2	177.5
110/12	B1	32	32	11960	63.61	213.21	172.21	19.14	1005	4	251.2
110/11	A3	6	35	4428	49.08	106.86	81.86	9.24	410	2	205
110/11	B3	13	32	3988	46.54	99.6	78.6	8.8	330	2	165
110/11	A3	17	35	4551	51.56	101.86	81.86	9.24	330	2	165
110/11	B2	21	32	5450	54.62	112.74	92.74	10.34	385	2	192.5
110/11	B2	15	32	5235	52.62	112.74	92.74	10.34	355	2	177.5
110/10	A5	16	35	4080	48.24	102.53	77.53	8.8	340	2	170
110/10	B2	20	32	5458	54.97	112.74	92.74	10.34	360	2	180
110/10	B1	20	32	5386	53.93	114.1	93.1	10.34	365	2	182.5
110/10	B2	18	32	5508	53.57	124.24	92.74	10.56	540	3	180
110/10	A1	17	35	5250	54.52	110.33	90.33	10.12	325	2	162.5
110/10	B1	5	32	4788	47.78	114.1	93.1	10.34	340	2	170
110/09	B1	8	32	4980	49.79	113.1	93.1	10.34	345	2	172.5
110/09	A1	22	35	5468	56.11	110.33	90.33	10.12	400	2	200
110/09	A5	18	35	4138	48.15	98.53	77.53	8.8	405	2	202.5
110/09	A5	19	35	3980	48.75	88.03	77.53	8.58	200	1	200
110/08	B1	10	32	5175	50.27	124.6	93.1	10.56	495	3	165
110/07	B3	19	32	4370	50.21	99.86	79.86	9.02	360	2	180
110/06	A2	33	35	11300	66.58	195.63	154.63	17.16	1005	4	251.2
110/06	B1	27	32	6188	62.17	114.1	93.1	10.34	400	2	200
110/06	A1	16	35	5230	53.92	111.33	90.33	10.12	360	2	180
110/06	A1	20	35	5630	56.35	121.83	90.33	10.34	540	3	180
110/05	A5	14	35	3950	46.75	97.54	77.53	8.8	325	2	162.5
110/05	B2	22	32	5680	54.83	123.24	92.74	10.56	595	3	198.3
110/05	A1	12	35	5105	51.98	111.33	90.33	10.12	410	2	205
110/05	B3	22	32	4450	50.59	100.86	79.86	9.02	410	2	205
110/05	A5	17	35	3875	47.72	87.04	77.53	8.58	175	1	175
110/05	B2	19	32	5160	51.65	117.74	92.74	10.34	370	2	185
110/05	A5	6	35	3718	43.76	97.54	77.53	8.8	325	2	162.5
110/04	B1	23	32	6242	58.35	134.1	93.1	10.78	810	4	202.5
110/04	A5	15	35	3970	46.95	98.53	77.53	8.8	330	2	165
110/04	A2	13	35	5525	54.03	116.6	95.6	10.56	360	2	180
110/04	B2	11	32	4900	49.23	113.74	92.74	10.34	335	2	167.5
110/04	B3	17	32	4145	47.33	100.86	79.86	9.02	365	2	182.5
110/04	B2	4	32	4713	45.21	124.24	92.74	10.56	520	3	173.3
110/04	A2	11	35	5632	53.58	116.6	95.6	10.56	510	2	255
110/04	A2	15	35	5800	55.39	127.1	95.6	10.78	505	3	168.3
110/03	A5	13	35	3940	46.43	98.53	77.53	8.8	340	2	170
110/03	A5	20	35	3960	48.75	88.03	77.53	8.58	180	1	180
110/03	A5	7	35	3780	44.5	98.53	77.53	8.8	330	2	165
110/03	A3	26	35	5155	56.87	102.86	81.86	9.24	500	2	250
110/02	A2	4	35	5339	50.34	127.63	96.13	11	500	3	166.7
110/01	A3	14	35	2960	50.79	72.2	51.2	5.72	360	2	180
110/01	B1	17	32	5220	52.1	118.1	93.1	10.34	370	2	185
110/01	B1	6	32	4938	47.78	123.6	93.1	10.56	490	3	163.3
110/01	B2	25	32	6222	58.41	133.74	92.74	10.78	805	4	201.2
110/01	B2	16	32	5188	50.12	124.24	92.74	10.56	540	3	180
110/01	A3	15	35	4438	49.88	101.86	81.86	9.24	355	2	177.5
110/01	A2	24	35	6492	60.99	127.2	95.7	10.78	655	3	218.3
110/01	A2	20	35	6068	57.29	126.21	95.61	10.78	590	3	196.7
110/01	A2	19	35	5788	56.67	116.6	95.6	10.56	370	2	185
110/01	B1	19	32	5300	52.63	114.1	93.1	10.34	400	2	200
110/01	B3	7	32	3938	43.11	111.36	79.86	9.24	495	3	165
109/12	A3	13	35	4400	49.47	102.56	81.56	9.24	365	2	182.5
109/12	A2	21	35	6088	57.51	126.1	95.6	10.78	590	3	196.7
109/12	B2	5	32	4588	45.91	113.74	92.74	10.34	330	2	165
109/12	A3	20	35	4628	52.02	102.86	81.86	9.24	370	2	185
109/12	B3	12	32	3990	44.95	100.86	79.86	9.02	400	2	200
109/11	A2	18	35	5908	55.98	127.2	95.7	10.78	550	3	183.3
109/11	B3	16	32	4108	46.81	100.86	79.86	9.02	370	2	185
109/11	B3	4	32	3668	41.8	100.86	79.86	9.02	330	2	165
109/10	A5	4	35	3600	41.89	99.07	78.07	8.8	330	2	165
109/10	A2	25	35	6488	61.7	125.1	95.6	10.78	590	3	196.7
109/10	B3	10	32	3870	44.33	100.86	79.86	9.02	330	2	165
109/09	A2	22	35	5918	57.55	116.71	95.7	10.56	410	2	205
109/09	B2	10	32	4835	48.2	113.74	92.74	10.34	365	2	182.5
109/09	B3	5	32	3695	41.63	100.86	79.86	9.02	370	2	185
109/09	B3	9	32	3870	43.95	100.86	79.86	9.02	360	2	180
109/08	A2	32	35	10988	64.62	195.73	154.73	17.16	990	4	247.5
109/08	A2	17	35	5900	55.49	127.1	95.6	10.78	595	3	198.3
109/08	A2	5	35	5339	50.57	127.1	95.6	10.78	505	3	168.3
109/08	A1	5	35	4780	49.27	111.33	90.33	10.12	330	2	165
109/08	B1	13	32	5015	50	114.1	93.1	10.34	360	2	180
109/08	B2	13	32	4905	49.01	113.74	92.74	10.34	360	2	180
109/07	A1	35	35	6606	63.45	121.83	90.33	10.34	875	3	291.7
109/07	A5	22	35	4258	49.82	98.53	77.53	8.8	395	2	197.5
109/07	B3	11	32	3910	44.83	100.86	79.86	9.02	330	2	165
109/06	B3	30	32	4865	55.78	100.86	79.86	9.02	410	2	205
109/06	B3	6	32	3800	43.45	100.86	79.86	9.02	330	2	165
109/06	B2	17	32	5010	50.14	113.74	92.74	10.34	360	2	180
109/05	A1	8	35	5098	52.01	111.33	90.33	10.12	400	2	200
109/05	A1	10	35	5000	51.59	111.33	90.33	10.12	340	2	170
109/02	A3	31	35	5480	59.42	113.54	82.04	9.46	605	3	201.7
109/02	A2	12	35	5527	55.66	106.21	95.7	10.34	200	1	200
109/02	B3	8	32	4180	45.83	111.36	79.86	9.24	520	3	173.3
109/01	A3	9	35	4358	49.27	101.86	81.86	9.24	325	2	162.5
109/01	A3	11	35	4318	48.72	102.86	81.86	9.24	330	2	165
109/01	A1	18	35	5600	55.96	121.83	90.33	10.34	545	3	181.7
108/11	B1	7	32	5138	49.87	124.6	93.1	10.56	495	3	165
108/11	B2	6	32	4718	47.32	113.74	92.74	10.34	330	2	165
108/10	B1	28	32	6188	60.99	114.1	93.1	10.34	510	2	255
108/10	A2	30	35	6662	64.28	116.71	95.7	10.56	510	2	255
108/10	A3	30	35	5243	59.16	102.86	81.86	9.24	400	2	200
108/10	A2	9	35	5390	52.82	116.6	95.6	10.56	340	2	170
108/09	A3	16	35	4605	51.92	101.86	81.86	9.24	355	2	177.5
108/09	A1	9	35	5200	51.92	111.33	90.33	10.12	510	2	255
108/09	A1	28	35	6223	60.65	121.83	90.33	10.34	745	3	248.3
108/09	A2	28	35	6500	62.69	116.71	95.7	10.56	500	2	250
108/09	A3	4	35	3985	46.67	92.36	81.86	9.02	165	1	165
108/09	B2	8	32	5050	48.69	124.24	92.74	10.56	535	3	178.3
108/09	B1	9	32	5018	50.03	114.1	93.1	10.34	360	2	180
108/09	B3	14	32	2488	48.29	58.71	48.21	4.84	160	1	160
108/09	B3	18	32	3973	49.75	79.86	79.86	8.58	0	0	
108/09	A2	26	35	6695	62.17	127.21	95.7	10.78	745	3	248.3
108/09	A2	31	35	6950	64.85	127.1	95.6	10.78	750	3	250
108/09	A5	10	35	3738	46.08	89.04	77.53	8.58	165	1	165
108/09	A5	11	35	3988	46.86	98.53	77.53	8.8	355	2	177.5
108/08	B3	28	32	5018	55.13	104.58	83.58	9.24	410	2	205
108/08	B3	27	32	4960	54.56	104.58	83.58	9.24	400	2	200
108/08	A5	8	35	3718	45.63	88.03	77.53	8.58	180	1	180
108/08	A2	27	35	6590	62.55	127.1	95.6	10.78	610	3	203.3
108/08	A3	5	35	3998	46.89	91.36	81.86	9.02	160	1	160
108/08	A5	9	35	3888	45.95	97.54	77.53	8.8	325	2	162.5
108/08	A1	7	35	4958	50.4	111.33	91.32	10.12	355	2	177.5
108/08	A2	10	35	5470	53.45	115.71	95.7	10.56	355	2	177.5
108/08	A3	10	35	4330	48.56	101.86	81.86	9.24	355	2	177.5
108/07	A2	16	35	6031	57.27	127.2	95.7	10.78	550	3	183.3
108/07	A5	5	35	3748	44.15	98.53	77.53	8.8	325	2	162.5
